year,Lignite,Coal,Hydro,Biomass,Wind,Gas,Waste,Oil,Storage,Other,Wave and Tidal,Nuclear,Geothermal,Solar,Cogeneration
2000.0,86650.0,30529.0,32351.0,943.6,3317.0,38391.0,0.0,4250.0,0.0,237.9,0.0,12089.0,0.0,6770.562880000003,0.0
2005.0,92518.0,30529.0,36591.0,1394.9,3317.0,44412.0,0.0,4250.0,0.0,237.9,0.0,12089.0,0.0,6770.562880000003,0.0
2010.0,97298.0,30852.0,44115.0,1655.3000000000002,3464.0,52000.0,178.9,4250.0,0.0,632.4,0.0,12089.0,0.0,6770.562880000003,0.0
2015.0,108192.0,38238.0,45409.0,1655.3000000000002,4965.3,54130.0,178.9,4250.0,0.0,756.9000000000001,0.0,12089.0,0.0,6770.562880000003,0.0
2020.0,100085.0,34727.0,45409.0,1655.3000000000002,4965.3,51685.0,178.9,3226.0,0.0,756.9000000000001,0.0,9526.0,0.0,6770.562880000003,0.0
