,country,type,lat,lon,cap,commissioned,decommissioned
425,Germany,Lignite,51.038,6.616,4212.0,1972.0,
504,Germany,Lignite,52.16,10.967,352.0,1985.0,
778,Spain,Lignite,40.794,-0.816,142.3,,2012.0
1119,Greece,Lignite,37.418,22.108,845.0,2015.0,
1120,Greece,Lignite,40.62,21.686,273.0,1988.0,
1123,Greece,Lignite,40.393,21.921,342.0,1997.0,
1129,Greece,Lignite,40.393,21.921,283.0,1984.0,
1142,Greece,Lignite,40.481,21.727,116.0,1965.0,2014.0
1143,Greece,Lignite,40.411,21.786,280.0,1981.0,
1144,Greece,Lignite,40.393,21.921,274.0,1984.0,
1145,Greece,Lignite,37.416,22.067,256.0,1991.0,
1149,Greece,Lignite,40.393,21.921,283.0,1984.0,
1158,Greece,Lignite,40.481,21.727,116.0,1965.0,2014.0
1159,Greece,Lignite,40.393,21.921,274.0,1984.0,
1160,Greece,Lignite,40.411,21.786,272.0,1975.0,
1163,Greece,Lignite,40.481,21.727,274.0,1973.0,2014.0
1166,Greece,Lignite,40.411,21.786,280.0,1981.0,
1167,Greece,Lignite,40.62,21.686,273.0,1987.0,
1169,Greece,Lignite,37.418,22.108,255.0,1991.0,
1172,Greece,Lignite,40.411,21.786,271.0,1975.0,
1174,Greece,Lignite,40.814,21.598,289.0,2003.0,
1213,Hungary,Lignite,47.502,18.271,220.0,1963.0,
1214,Hungary,Lignite,47.502,18.271,220.0,1962.0,
1215,Hungary,Lignite,47.502,18.271,220.0,1961.0,
1216,Hungary,Lignite,47.502,18.271,220.0,1962.0,
1217,Hungary,Lignite,47.79,20.067,867.6,1980.0,
1218,Hungary,Lignite,47.79,20.067,867.6,1978.0,
1219,Hungary,Lignite,47.79,20.067,867.6,1983.0,
1220,Hungary,Lignite,47.79,20.067,867.6,1899.0,
1221,Hungary,Lignite,47.79,20.067,867.6,1899.0,
1222,Hungary,Lignite,47.79,20.067,867.6,1980.0,
1223,Hungary,Lignite,47.79,20.067,867.6,1978.0,
1224,Hungary,Lignite,47.79,20.067,867.6,1980.0,
1235,Hungary,Lignite,47.096,17.558,92.6,,
4969,Poland,Lignite,50.949,14.913,1488.0,1962.0,
4970,Poland,Lignite,50.949,14.913,1488.0,1963.0,
4971,Poland,Lignite,50.949,14.913,1488.0,1963.0,
4972,Poland,Lignite,50.949,14.913,1488.0,1964.0,
4973,Poland,Lignite,50.949,14.913,1488.0,1964.0,
4974,Poland,Lignite,50.949,14.913,1488.0,1965.0,
5072,Poland,Lignite,49.965,18.626,113.0,,
5082,Poland,Lignite,52.0,18.533,0.0,1964.0,2017.0
5083,Poland,Lignite,52.0,18.533,0.0,1964.0,2017.0
5084,Poland,Lignite,52.0,18.533,0.0,1966.0,2017.0
5085,Poland,Lignite,52.0,18.533,0.0,1965.0,2017.0
5086,Poland,Lignite,52.0,18.533,0.0,1965.0,2017.0
5087,Poland,Lignite,52.283,18.267,128.0,,
5101,Poland,Lignite,52.305,18.232,474.0,2008.0,
5105,Poland,Lignite,51.266,19.315,5472.0,1987.0,
5106,Poland,Lignite,51.266,19.315,5472.0,1986.0,
5107,Poland,Lignite,51.266,19.315,5472.0,1987.0,
5108,Poland,Lignite,51.266,19.315,5472.0,1984.0,
5109,Poland,Lignite,51.266,19.315,5472.0,1983.0,
5110,Poland,Lignite,51.266,19.315,5472.0,1985.0,
5111,Poland,Lignite,51.266,19.315,5472.0,1984.0,
5112,Poland,Lignite,51.266,19.315,5472.0,1985.0,
5113,Poland,Lignite,51.266,19.315,5472.0,1982.0,
5114,Poland,Lignite,51.266,19.315,5472.0,1982.0,
5115,Poland,Lignite,51.266,19.315,5472.0,1981.0,
5116,Poland,Lignite,51.266,19.315,5472.0,1988.0,
5117,Poland,Lignite,51.266,19.315,5472.0,2011.0,
5119,Poland,Lignite,52.305,18.232,1244.0,1967.0,
5120,Poland,Lignite,52.305,18.232,1244.0,1967.0,
5121,Poland,Lignite,52.305,18.232,1244.0,1967.0,
5122,Poland,Lignite,52.305,18.232,1244.0,1967.0,
5123,Poland,Lignite,52.305,18.232,1244.0,1967.0,
5124,Poland,Lignite,52.305,18.232,1244.0,1967.0,
5199,Romania,Lignite,44.913,23.134,1207.0,1979.0,
5200,Romania,Lignite,44.913,23.134,1207.0,1976.0,
5201,Romania,Lignite,44.913,23.134,1207.0,1977.0,
5202,Romania,Lignite,44.913,23.134,1207.0,1977.0,
5214,Romania,Lignite,45.041,24.29,176.7,,
5223,Romania,Lignite,44.386,23.717,595.0,1987.0,
5224,Romania,Lignite,44.386,23.717,595.0,1988.0,
5249,Romania,Lignite,44.665,23.41,1896.0,1985.0,
5250,Romania,Lignite,44.665,23.41,1896.0,1978.0,
5251,Romania,Lignite,44.665,23.41,1896.0,1983.0,
5252,Romania,Lignite,44.665,23.41,1896.0,1981.0,
5253,Romania,Lignite,44.665,23.41,1896.0,1980.0,
5254,Romania,Lignite,44.665,23.41,1896.0,1987.0,
5263,Romania,Lignite,44.675,22.688,313.0,,
5264,Romania,Lignite,44.347,23.815,262.0,1987.0,
5265,Romania,Lignite,44.347,23.815,262.0,1988.0,
5270,Romania,Lignite,47.084,21.893,170.0,,
5403,Slovenia,Lignite,46.126,15.061,110.0,1966.0,
5409,Slovenia,Lignite,46.372,15.053,1092.0,,
5410,Slovenia,Lignite,46.372,15.053,1092.0,1978.0,
5411,Slovenia,Lignite,46.372,15.053,1092.0,1973.0,
5412,Slovenia,Lignite,46.058,14.545,134.0,1967.0,
5413,Slovenia,Lignite,46.058,14.545,134.0,1966.0,
5414,Slovenia,Lignite,46.058,14.545,134.0,1984.0,
5437,Slovakia,Lignite,48.694,18.532,220.0,1996.0,
5438,Slovakia,Lignite,48.694,18.532,220.0,2003.0,
5439,Slovakia,Lignite,48.694,18.532,220.0,1964.0,2015.0
5440,Slovakia,Lignite,48.694,18.532,220.0,1955.0,
5467,Bulgaria,Lignite,42.159,25.909,686.0,2011.0,
5468,Bulgaria,Lignite,42.159,25.909,686.0,2011.0,
22,Austria,Coal,48.317,15.917,381.4,1985.0,
31,Austria,Coal,48.317,15.917,0.0,1985.0,
46,Austria,Coal,46.933,15.517,200.0,1986.0,
55,Austria,Coal,48.033,12.833,150.0,1970.0,
109,Belgium,Coal,50.934,5.478,235.0,1899.0,2016.0
117,Belgium,Coal,50.934,5.478,235.0,1899.0,2016.0
147,Bulgaria,Coal,43.196,27.637,132.0,2009.0,
148,Bulgaria,Coal,43.636,25.322,120.0,,
142,Bulgaria,Coal,43.866,26.009,110.0,,
149,Bulgaria,Coal,43.866,26.009,180.0,,
9391,Croatia,Coal,45.137,14.164,330.0,,
221,Czechia,Coal,49.832,18.21,174.0,,
228,Czechia,Coal,49.91,18.46,748.0,1975.0,
229,Czechia,Coal,49.91,18.46,748.0,1976.0,
230,Czechia,Coal,49.91,18.46,748.0,1976.0,
231,Czechia,Coal,49.91,18.46,748.0,1975.0,
250,Czechia,Coal,50.572,15.963,149.0,1996.0,
5464,Denmark,Coal,55.02,9.446,626.0,1979.0,2017.0
5465,Denmark,Coal,55.205,11.253,264.0,1970.0,2012.0
553,Denmark,Coal,55.429,10.404,407.1,1991.0,
552,Denmark,Coal,55.455,8.458,377.0,1992.0,
557,Denmark,Coal,55.662,11.082,787.0,1981.0,
558,Denmark,Coal,55.662,11.082,787.0,1961.0,
554,Denmark,Coal,55.686,12.626,330.0,1989.0,
555,Denmark,Coal,56.251,10.344,730.0,1984.0,
556,Denmark,Coal,56.251,10.344,730.0,1985.0,
551,Denmark,Coal,57.074,10.042,405.0,1977.0,
875,Finland,Coal,60.02,23.912,695.0,1974.0,2013.0
876,Finland,Coal,60.02,23.912,695.0,1975.0,2013.0
877,Finland,Coal,60.02,23.912,695.0,1977.0,2013.0
884,Finland,Coal,60.165,24.904,155.0,1984.0,
880,Finland,Coal,60.183,24.973,210.0,1974.0,
881,Finland,Coal,60.183,24.973,210.0,1974.0,
890,Finland,Coal,60.458,22.052,471.0,,
891,Finland,Coal,60.458,22.052,471.0,1972.0,
892,Finland,Coal,60.458,22.052,471.0,1960.0,
893,Finland,Coal,60.458,22.052,471.0,1960.0,
874,Finland,Coal,60.991,25.721,170.0,,
883,Finland,Coal,61.488,21.817,240.0,1976.0,
894,Finland,Coal,61.632,21.405,565.0,1994.0,
888,Finland,Coal,62.256,21.325,450.0,1974.0,
889,Finland,Coal,62.256,21.325,450.0,1989.0,
906,Finland,Coal,63.091,21.554,383.0,1998.0,
905,Finland,Coal,63.091,21.554,383.0,1972.0,
851,Finland,Coal,64.651,24.422,125.0,,
1005,France,Coal,43.49,5.5,595.0,1984.0,
941,France,Coal,46.67,4.35,245.0,,2015.0
953,France,Coal,47.29,-1.83,580.0,1899.0,
