,country,type,lat,lon,cap,commissioned
259,France,Nuclear,45.25742,-0.69065,910.0,
260,France,Nuclear,45.80141,5.26614,910.0,
261,France,Nuclear,45.80141,5.26614,910.0,
262,France,Nuclear,45.80141,5.26614,880.0,
263,France,Nuclear,45.80141,5.26614,880.0,
264,France,Nuclear,49.41579,6.2181,1300.0,
265,France,Nuclear,49.41579,6.2181,1300.0,
266,France,Nuclear,49.41579,6.2181,1300.0,
267,France,Nuclear,49.41579,6.2181,1300.0,
268,France,Nuclear,47.22856,0.16824,905.0,
269,France,Nuclear,47.22856,0.16824,905.0,
270,France,Nuclear,47.22856,0.16824,905.0,
271,France,Nuclear,47.22856,0.16824,905.0,
272,France,Nuclear,50.09136,4.79242,1500.0,
273,France,Nuclear,50.09136,4.79242,1500.0,
274,France,Nuclear,46.456140000000005,0.6524,1495.0,
275,France,Nuclear,46.456140000000005,0.6524,1495.0,
276,France,Nuclear,44.63251,4.75105,915.0,
277,France,Nuclear,44.63251,4.75105,915.0,
278,France,Nuclear,44.63251,4.75105,915.0,
279,France,Nuclear,44.63251,4.75105,915.0,
280,France,Nuclear,47.73252,2.51772,890.0,
281,France,Nuclear,47.73252,2.51772,890.0,
282,France,Nuclear,47.73252,2.51772,890.0,
283,France,Nuclear,47.73252,2.51772,890.0,
284,France,Nuclear,47.90303,7.56308,880.0,
285,France,Nuclear,47.90303,7.56308,880.0,
286,France,Nuclear,49.53671,-1.88229,1330.0,
287,France,Nuclear,49.53671,-1.88229,1330.0,
288,France,Nuclear,44.10479,0.84606,1310.0,
289,France,Nuclear,44.10479,0.84606,1310.0,
290,France,Nuclear,51.01267,2.13956,910.0,
291,France,Nuclear,51.01267,2.13956,910.0,
292,France,Nuclear,51.01267,2.13956,910.0,
293,France,Nuclear,51.01267,2.13956,910.0,
294,France,Nuclear,51.01267,2.13956,910.0,
295,France,Nuclear,51.01267,2.13956,910.0,
296,France,Nuclear,48.5153,3.51776,1310.0,
297,France,Nuclear,48.5153,3.51776,1310.0,
298,France,Nuclear,49.85838,0.63449,1330.0,
299,France,Nuclear,49.85838,0.63449,1330.0,
300,France,Nuclear,49.85838,0.63449,1330.0,
301,France,Nuclear,49.85838,0.63449,1330.0,
302,France,Nuclear,49.97599,1.21025,1330.0,
303,France,Nuclear,49.97599,1.21025,1330.0,
304,France,Nuclear,45.40523,4.755269999999999,1335.0,
305,France,Nuclear,45.40523,4.755269999999999,1335.0,
306,France,Nuclear,47.72006,1.58009,915.0,
307,France,Nuclear,47.72006,1.58009,915.0,
308,France,Nuclear,44.32906,4.72605,915.0,
309,France,Nuclear,44.32906,4.72605,915.0,
310,France,Nuclear,44.32906,4.72605,915.0,
311,France,Nuclear,44.32906,4.72605,915.0,
331,Poland,Hydro,51.56076,15.45145,28.0,
332,Poland,Hydro,51.56076,15.45145,29.0,
333,Poland,Hydro,51.56076,15.45145,28.0,
385,Poland,Hydro,49.77957,19.212,135.0,
386,Poland,Hydro,49.77957,19.212,135.0,
387,Poland,Hydro,49.77957,19.212,135.0,
388,Poland,Hydro,49.77957,19.212,135.0,
413,Poland,Hydro,54.74201,18.08924,179.0,
414,Poland,Hydro,54.74201,18.08924,179.0,
415,Poland,Hydro,54.74201,18.08924,179.0,
416,Poland,Hydro,54.74201,18.08924,179.0,
417,Poland,Hydro,54.02601,16.71386,55.0,
418,Poland,Hydro,54.02601,16.71386,55.0,
419,Poland,Hydro,54.02601,16.71386,57.0,
572,Croatia,Hydro,46.6713364433,8.75072947495,1.5,1979.0
574,Croatia,Hydro,46.67004965100001,8.76860353742,150.0,2011.0
575,Croatia,Hydro,46.67004965100001,8.76860353742,0.75,1968.0
576,Croatia,Hydro,46.7510368203,9.046923928039998,180.0,1962.0
577,Croatia,Hydro,46.7202818447,8.89856834691,24.87,2015.0
578,Croatia,Hydro,46.7435050176,8.986493631970001,4.23,1999.0
579,Croatia,Hydro,46.7435050176,8.986493631970001,0.6,2005.0
580,Croatia,Hydro,46.7573816308,9.049993378160002,0.4,2008.0
583,Croatia,Hydro,46.7580621697,9.07174622905,12.5,1960.0
584,Croatia,Hydro,46.771415734,9.11876991407,5.1,1973.0
585,Croatia,Hydro,46.7747637594,9.1952255793,34.5,1990.0
586,Croatia,Hydro,46.7747637594,9.1952255793,49.5,1992.0
587,Croatia,Hydro,46.5789495911,9.1193155643,22.0,1999.0
588,Croatia,Hydro,46.6778242878,9.31587383275,90.0,1997.0
589,Croatia,Hydro,46.7658960254,9.41820114963,135.0,2011.0
590,Croatia,Hydro,46.7649113824,9.41790308497,26.0,2004.0
591,Croatia,Hydro,46.6601503473,9.18823038522,0.94,1996.0
592,Croatia,Hydro,46.7931455833,9.27364512391,2.82,1963.0
593,Croatia,Hydro,46.8384516549,9.26509335259,2.62,2012.0
594,Croatia,Hydro,46.8384516549,9.26509335259,0.64,2012.0
595,Croatia,Hydro,46.8384516549,9.26509335259,0.3,2013.0
596,Croatia,Hydro,46.833756853500006,9.28289622392,1.73,1999.0
597,Croatia,Hydro,46.8340905068,9.31765249379,0.88,2011.0
598,Croatia,Hydro,46.8340905068,9.31765249379,0.28,2011.0
599,Croatia,Hydro,46.833447951,9.34018135796,1.6,2004.0
600,Croatia,Hydro,46.8148577632,9.34883064445,6.48,1944.0
601,Croatia,Hydro,46.5329177645,9.43419338513,180.0,2017.0
602,Croatia,Hydro,46.5329177645,9.43419338513,4.4,2017.0
603,Croatia,Hydro,46.54305379270001,9.24795177052,0.3,2009.0
604,Croatia,Hydro,46.5459228175,9.309733264139998,1.8,2012.0
606,Croatia,Hydro,46.5901915365,9.42142722621,220.0,2017.0
607,Croatia,Hydro,46.5901915365,9.42142722621,1.6,2017.0
608,Croatia,Hydro,46.7031360141,9.46664904976,247.0,1961.0
609,Croatia,Hydro,46.6901486217,9.44288408447,4.6,2017.0
610,Croatia,Hydro,46.7688686224,9.80558112281,0.7,1963.0
611,Croatia,Hydro,46.7360930283,9.77586865383,1.13,1964.0
612,Croatia,Hydro,46.6698919694,9.68920263555,65.0,2002.0
613,Croatia,Hydro,46.6608466013,9.57955507518,24.0,1989.0
614,Croatia,Hydro,46.4796105068,9.6452128901,0.65,1980.0
616,Croatia,Hydro,46.582506485100005,9.61064835764,69.5,1971.0
617,Croatia,Hydro,46.5681520979,9.5702754213,1.59,2011.0
618,Croatia,Hydro,46.6644016578,9.562703474369998,52.0,1970.0
619,Croatia,Hydro,46.6644016578,9.562703474369998,26.0,1949.0
620,Croatia,Hydro,46.6819220936,9.52521300017,7.3,1978.0
621,Croatia,Hydro,46.7040817391,9.46406852744,26.0,1996.0
622,Croatia,Hydro,46.7739461705,9.42098533692,44.0,1976.0
623,Croatia,Hydro,46.8377337086,9.44733101447,19.06,1962.0
624,Croatia,Hydro,46.8000493529,9.705911980660002,5.0,1969.0
625,Croatia,Hydro,46.8284428074,9.60614992526,3.55,2013.0
626,Croatia,Hydro,46.8284428074,9.60614992526,7.2,1990.0
627,Croatia,Hydro,46.8404306281,9.54250541843,9.4,2011.0
628,Croatia,Hydro,46.8404306281,9.54250541843,0.71,2012.0
629,Croatia,Hydro,46.861014512,9.89557404649,16.5,1982.0
630,Croatia,Hydro,46.885048005200005,9.87855790113,6.1,2000.0
631,Croatia,Hydro,46.913974185,9.78202924909,45.6,2006.0
632,Croatia,Hydro,46.9828412314,9.64486330331,11.33,2011.0
633,Croatia,Hydro,46.9593278102,9.57988985784,0.5,1978.0
634,Croatia,Hydro,46.95480199479999,9.5668303331,0.71,1988.0
635,Croatia,Hydro,46.9484407976,9.4812988795,279.9,1977.0
636,Croatia,Hydro,46.9770980292,9.53865885488,90.0,1978.0
637,Croatia,Hydro,47.0000948296,9.50115288825,0.7,1956.0
638,Croatia,Hydro,46.9931780282,9.55480652195,0.46,1997.0
639,Croatia,Hydro,47.0232622307,9.44809505335,1.2,2004.0
640,Croatia,Hydro,47.0258051067,9.441610965610002,0.7,1993.0
641,Croatia,Hydro,47.1209036183,9.48300188061,1.14,1989.0
642,Croatia,Hydro,47.1490022349,9.44582705102,0.98,1987.0
643,Croatia,Hydro,47.1562316902,9.46456548914,0.69,2013.0
644,Croatia,Hydro,47.1569967916,9.46710077053,3.56,1987.0
645,Croatia,Hydro,47.17262767,9.41689346785,0.44,1994.0
646,Croatia,Hydro,47.1757270944,9.43020364886,1.43,1996.0
647,Croatia,Hydro,47.2615761557,9.49605409189,1.22,1990.0
648,Croatia,Hydro,47.2751747537,9.525398933,0.38,1989.0
649,Croatia,Hydro,47.30770042100001,9.56728348718,0.38,1989.0
650,Croatia,Hydro,47.3392405944,9.57926456954,0.38,1989.0
652,Croatia,Hydro,47.4603255412,9.43979811879,0.63,2003.0
653,Croatia,Hydro,47.5005666197,9.42790432392,1.2,2014.0
654,Croatia,Hydro,47.6931243898,8.63042746026,28.9,1964.0
655,Croatia,Hydro,47.6934840779,8.630435553060002,5.0,1993.0
656,Croatia,Hydro,47.6798806585,8.61494656661,5.6,2011.0
657,Croatia,Hydro,47.6389102371,8.601661178110001,36.8,2005.0
658,Croatia,Hydro,47.2178452198,9.20939259186,1.9,2001.0
659,Croatia,Hydro,47.2216373141,9.18495516077,1.25,2010.0
660,Croatia,Hydro,47.2447757187,9.17791678684,0.84,1991.0
661,Croatia,Hydro,47.24948836430001,9.16366835457,1.8,2007.0
662,Croatia,Hydro,47.2585402791,9.12960201415,0.86,2004.0
663,Croatia,Hydro,47.3232416909,9.08494859192,0.57,2013.0
664,Croatia,Hydro,47.3444435336,9.08070597557,0.98,2002.0
665,Croatia,Hydro,47.3564409783,9.07842778781,0.98,2001.0
666,Croatia,Hydro,47.410872339,9.07811617053,1.37,2010.0
667,Croatia,Hydro,47.4314001196,9.17553013871,0.35,1967.0
668,Croatia,Hydro,47.4930279409,9.23422119529,1.02,1935.0
669,Croatia,Hydro,47.280704038900005,9.42116368952,2.5,2005.0
670,Croatia,Hydro,47.2868596876,9.27779379793,0.38,1991.0
671,Croatia,Hydro,47.3318002224,9.29178339624,0.36,1987.0
672,Croatia,Hydro,47.4019094764,9.32364063827,15.0,1976.0
673,Croatia,Hydro,47.41001052399999,9.32339732284,0.46,2007.0
675,Croatia,Hydro,47.4191628646,9.34135118586,0.3,2008.0
676,Croatia,Hydro,47.4572264157,9.36804900144,0.48,2003.0
677,Croatia,Hydro,47.5192647047,9.20708697249,1.7,2011.0
678,Croatia,Hydro,47.5239809806,9.18679102533,2.3,2002.0
679,Croatia,Hydro,47.547257475,9.15221424841,0.44,2008.0
681,Croatia,Hydro,47.55027582939999,9.1427446335,0.7,1976.0
682,Croatia,Hydro,47.5608510601,9.1021506291,0.4,1948.0
683,Croatia,Hydro,47.5607188536,9.09882399502,0.4,1948.0
684,Croatia,Hydro,47.5647136507,9.07728471582,0.83,1989.0
685,Croatia,Hydro,47.5374877465,8.91438251912,0.34,2008.0
686,Croatia,Hydro,47.5538872916,8.89796299427,0.31,2012.0
687,Croatia,Hydro,47.459283301800006,8.76883185531,0.37,2010.0
688,Croatia,Hydro,47.4661750376,8.75613687859,0.47,2014.0
689,Croatia,Hydro,47.5214894015,8.64091948594,0.35,1994.0
690,Croatia,Hydro,47.51790558770001,8.67376758421,0.58,2015.0
691,Croatia,Hydro,47.528692361,8.58703091713,0.6,2004.0
692,Croatia,Hydro,47.3456402562,8.73992340849,0.42,2000.0
693,Croatia,Hydro,47.5749161402,8.47332208664,46.9,2012.0
694,Croatia,Hydro,47.5710071549,8.3380806201,39.5,2004.0
695,Croatia,Hydro,47.6978059267,8.4073779118,0.42,1968.0
696,Croatia,Hydro,47.58581763,8.13293948536,28.4,2009.0
697,Croatia,Hydro,47.5558907696,8.04884507333,110.0,1992.0
698,Croatia,Hydro,47.5578674161,7.95679136018,73.6,1966.0
699,Croatia,Hydro,47.5863232345,7.833437892889999,120.0,1984.0
700,Croatia,Hydro,47.5874006466,7.83397764783,0.35,2014.0
701,Croatia,Hydro,47.5688531592,7.8129757269,100.0,2010.0
702,Croatia,Hydro,47.5688531592,7.8129757269,1.8,2011.0
703,Croatia,Hydro,47.53676241229999,7.709688480780001,35.0,1994.0
704,Croatia,Hydro,47.5387456625,7.707706332330001,38.5,1994.0
705,Croatia,Hydro,47.5598609367,7.626364605560001,100.0,1999.0
706,Croatia,Hydro,47.2656875543,7.349039420739999,0.92,1979.0
707,Croatia,Hydro,47.322282154300005,7.378440813839999,0.58,2003.0
708,Croatia,Hydro,47.2948384497,7.221276989319999,0.32,2001.0
709,Croatia,Hydro,47.331015929,7.231977248710001,1.03,2001.0
710,Croatia,Hydro,47.38280212229999,7.35916951758,0.52,2002.0
711,Croatia,Hydro,47.4105191351,7.494670152060001,0.35,1997.0
712,Croatia,Hydro,47.4196898837,7.501173026010001,0.72,1995.0
713,Croatia,Hydro,47.4364944597,7.523992777919999,0.38,2005.0
714,Croatia,Hydro,47.4438497021,7.5478685338,0.34,1997.0
